# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
988087814.1468936377,3,00:06:11,"33,33%","US$ 0,00",0,"0,00%"
1006701993.1551967931,2,00:28:22,"50,00%","US$ 0,00",0,"0,00%"
101234042.1550251908,2,00:00:05,"50,00%","US$ 0,00",0,"0,00%"
1018529017.1548188159,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1022872730.1552402061,2,00:03:11,"50,00%","US$ 0,00",0,"0,00%"
102458861.1547805792,2,00:00:13,"50,00%","US$ 0,00",0,"0,00%"
102560735.1537860786,2,00:03:26,"0,00%","US$ 0,00",0,"0,00%"
1028716277.1549556057,2,00:02:14,"0,00%","US$ 0,00",0,"0,00%"
1030900693.1549900617,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1032569937.1553005574,2,00:01:07,"0,00%","US$ 0,00",0,"0,00%"
1035864592.1554318894,2,00:00:53,"50,00%","US$ 0,00",0,"0,00%"
1038019250.1548232370,2,00:01:40,"0,00%","US$ 0,00",0,"0,00%"
1040464625.1550240894,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
10426350.1546594989,2,00:00:14,"50,00%","US$ 0,00",0,"0,00%"
1048498847.1546462852,2,00:19:59,"0,00%","US$ 0,00",0,"0,00%"
1050619716.1543408292,2,00:02:44,"0,00%","US$ 0,00",0,"0,00%"
1054093029.1550498232,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1055991184.1537892349,2,00:00:23,"0,00%","US$ 0,00",0,"0,00%"
1058105809.1548084487,2,00:02:08,"0,00%","US$ 0,00",0,"0,00%"
1067077823.1549487698,2,00:00:18,"50,00%","US$ 0,00",0,"0,00%"
1073281169.1548502543,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1085239108.1549906275,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1087588492.1552905602,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1090532175.1549051121,2,00:00:08,"0,00%","US$ 0,00",0,"0,00%"
1092260613.1554285654,2,00:01:18,"0,00%","US$ 0,00",0,"0,00%"
1095687871.1533796469,2,00:00:07,"50,00%","US$ 0,00",0,"0,00%"
1097983962.1547030858,2,00:01:21,"50,00%","US$ 0,00",0,"0,00%"
1099060423.1551713601,2,00:18:30,"0,00%","US$ 0,00",0,"0,00%"
1106279074.1554376006,2,00:04:38,"0,00%","US$ 0,00",0,"0,00%"
1110563548.1534931516,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1111646174.1536308610,2,00:12:13,"50,00%","US$ 0,00",0,"0,00%"
111795046.1548342590,2,00:00:50,"50,00%","US$ 0,00",0,"0,00%"
1125627965.1506962997,2,00:00:18,"50,00%","US$ 0,00",0,"0,00%"
1127893296.1546870554,2,00:04:18,"50,00%","US$ 0,00",0,"0,00%"
1134831981.1549878534,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1135263804.1549043710,2,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1135356354.1551648897,2,00:06:32,"50,00%","US$ 0,00",0,"0,00%"
